date,actual_temp,forecast_temp
01/01/2010,4,4.3
02/01/2010,4.8,5.0
03/01/2010,6,6.4
04/01/2010,3,1.9
05/01/2010,4.1,3.8
06/01/2010,3.5,2.2
07/01/2010,1.6,1.0
08/01/2010,3,2.7
09/01/2010,1.5,1.0
10/01/2010,1.4,1.3
11/01/2010,2.3,2.5
12/01/2010,2.5,2.1
13/01/2010,2.7,2.4
14/01/2010,3.1,2.5
15/01/2010,5.5,5.9
16/01/2010,9.5,9.4
17/01/2010,10,9.6
18/01/2010,10.1,10.2
19/01/2010,10.3,8.9
20/01/2010,7.1,6.9
21/01/2010,4.6,2.9
22/01/2010,8.8,7.7
23/01/2010,11,11.1
24/01/2010,8.8,8.7
25/01/2010,8.5,8.2
26/01/2010,5,4.7
27/01/2010,3.5,2.5
28/01/2010,8.5,10.6
29/01/2010,9.6,9.0
30/01/2010,8.1,6.6
31/01/2010,4.5,3.3
01/02/2010,4.4,4.7
02/02/2010,7.7,8.4
03/02/2010,8.8,7.9
04/02/2010,7.7,6.8
05/02/2010,8.5,9.7
06/02/2010,11,10.2
07/02/2010,9.5,9.6
08/02/2010,6,6.2
09/02/2010,3.8,5.1
10/02/2010,6,6.2
11/02/2010,6.1,6.3
12/02/2010,4.5,4.2
13/02/2010,7.9,6.6
14/02/2010,5.5,4.7
15/02/2010,9.6,9.1
16/02/2010,8.5,8.6
17/02/2010,7,6.1
18/02/2010,4.3,4.4
19/02/2010,4.5,4.0
20/02/2010,7,6.5
21/02/2010,6.8,7.7
22/02/2010,8.5,8.6
23/02/2010,4.8,2.8
24/02/2010,7.5,8.5
25/02/2010,10.6,10.3
26/02/2010,8.5,9.1
27/02/2010,8.1,8.2
28/02/2010,8,7.9
01/03/2010,8.1,7.3
02/03/2010,11.2,11.1
03/03/2010,9.5,7.8
04/03/2010,6.9,6.6
05/03/2010,8.3,8.7
06/03/2010,10.5,9.5
07/03/2010,10.2,11.9
08/03/2010,6.2,5.7
09/03/2010,7.5,6.8
10/03/2010,9.8,10.6
11/03/2010,7.5,5.5
12/03/2010,8.5,8.3
