Method,Level,1,2,3,4,5,6,7,8,9,10,11,12
Ensemble,Total,19.41969691,19.75308227,19.96144811,20.31650351,20.42818761,20.7699076,21.16997002,21.51169001,22.00343341,22.77855436,23.44532507,24.78720112
TSGLM,Total,18.71099236,19.0493785,19.26086983,19.62125107,20.07346104,20.00814562,21.48751957,21.83436536,22.33348491,23.12023267,23.79700494,25.15900914
ETS,Total,21.34700473,21.71347691,21.94252203,22.33281491,22.45558309,22.83121708,23.2709837,23.64661769,24.18716416,25.03921199,25.77215635,27.2472069
Naive,Total,22.69186603,23.08142596,23.32490092,23.31397823,23.87028482,24.73958375,24.73705567,25.1363546,25.7109555,25.61668234,27.39580221,28.96378093
Ensemble,Region,5.632087097,5.728775287,5.789205406,5.892178329,5.924568873,6.023674268,6.139700097,6.238805492,6.381420573,6.606220616,6.799596997,7.188766964
TSGLM,Region,5.533464664,5.631893242,5.693411104,5.798237539,6.003121111,6.013210041,6.250214699,6.351103991,6.496286143,6.425132587,6.921989743,7.318164769
ETS,Region,5.905468604,6.00685004,6.070213437,6.178184665,6.212147446,6.316063417,6.43772114,6.541637111,6.691174728,6.926886565,7.129649435,7.537709712
Naive,Region,6.171214692,6.277158291,6.443373041,6.456202975,6.401694081,6.600286271,6.627418591,6.836010781,6.992277591,7.23859646,7.45048366,7.976906649
Ensemble,County,2.744946451,2.792069995,2.82152221,2.871708784,2.887495172,2.935796805,2.992345058,3.04064669,3.110153918,3.219716158,3.313963247,3.485036355
TSGLM,County,2.708886559,2.723674312,2.816666657,2.891765613,2.90336951,2.918276955,3.040222579,3.089297038,3.159916381,3.271231617,3.366986659,3.559693681
ETS,County,2.855798368,2.904824949,2.935466563,2.987679872,3.004103777,3.054356023,3.11318792,3.163440166,3.235754374,3.349741176,3.447794339,3.645126329
Naive,County,2.952895512,3.003588998,3.035272426,3.089260988,3.010624331,3.158204128,3.201903631,3.027099713,3.345770023,3.463632376,3.565019346,3.869060624
Ensemble,Sub County,1.791934739,1.822697567,1.841924335,1.874686747,1.884992294,1.916524193,1.953439587,1.984971486,2.030346657,2.101870233,2.163395889,2.158721627
TSGLM,Sub County,1.72239763,1.753683426,1.773237049,1.806556422,1.871703716,1.91491051,1.98664806,2.018716001,2.06486255,2.137602027,2.200173619,2.326098949
ETS,Sub County,1.869779968,1.901879195,1.921941212,1.956126889,1.96688013,1.999781837,2.038300909,2.071202617,2.118548977,2.193179679,2.257378133,2.386577522
Naive,Sub County,1.961399187,1.955071276,2.016116331,2.001197711,2.063257256,2.097771147,2.013817765,2.172691545,2.122357877,2.300645484,2.367989662,2.520351982
